β,m,L,T,nsrc,ncfg,name,tmin,tmax
6.9,-0.87,10,20,4,976,Scattering_I2_SP(4)_beta6.900_m1-0.870_m2-0.870_T20_L10/,2,10
6.9,-0.87,12,24,4,400,Scattering_I2_SP(4)_beta6.900_m1-0.870_m2-0.870_T24_L12/,3,11
6.9,-0.87,16,32,16,100,Scattering_I2_SP(4)_beta6.900_m1-0.870_m2-0.870_T32_L16/,3,11
6.9,-0.9,10,20,16,1273,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T20_L10/,3,10
6.9,-0.9,12,24,16,2904,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T24_L12/,2,12
6.9,-0.9,14,24,16,942,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T24_L14/,2,12
6.9,-0.9,16,32,16,546,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T32_L16/,4,16
6.9,-0.9,18,36,16,356,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T36_L18/,4,18
6.9,-0.9,8,16,16,651,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T16_L8/,2,8
6.9,-0.9,8,24,16,402,Scattering_I2_SP(4)_beta6.900_m1-0.900_m2-0.900_T24_L8/,2,12
6.9,-0.91,12,24,4,1268,Scattering_I2_SP(4)_beta6.900_m1-0.910_m2-0.910_T24_L12/,3,10
6.9,-0.91,14,24,4,513,Scattering_I2_SP(4)_beta6.900_m1-0.910_m2-0.910_T24_L14/,3,11
6.9,-0.91,16,32,4,435,Scattering_I2_SP(4)_beta6.900_m1-0.910_m2-0.910_T32_L16/,3,16
6.9,-0.92,12,24,4,63,Scattering_I2_SP(4)_beta6.900_m1-0.920_m2-0.920_T24_L12/,3,12
6.9,-0.92,14,24,4,550,Scattering_I2_SP(4)_beta6.900_m1-0.920_m2-0.920_T24_L14/,3,12
6.9,-0.92,16,32,4,176,Scattering_I2_SP(4)_beta6.900_m1-0.920_m2-0.920_T32_L16/,3,15
6.9,-0.92,24,32,16,467,Scattering_I2_SP(4)_beta6.900_m1-0.920_m2-0.920_T32_L24/,3,15
7.05,-0.835,12,24,16,313,Scattering_I2_SP(4)_beta7.050_m1-0.835_m2-0.835_T24_L12/,3,12
7.05,-0.835,14,24,4,619,Scattering_I2_SP(4)_beta7.050_m1-0.835_m2-0.835_T24_L14/,3,9
7.05,-0.835,20,36,16,100,Scattering_I2_SP(4)_beta7.050_m1-0.835_m2-0.835_T36_L20/,3,12
7.05,-0.835,8,24,16,402,Scattering_I2_SP(4)_beta7.050_m1-0.835_m2-0.835_T24_L8/,3,12
7.05,-0.85,12,24,1,84,Scattering_I2_SP(4)_beta7.050_m1-0.850_m2-0.850_T24_L12/,5,12
7.05,-0.85,14,24,4,167,Scattering_I2_SP(4)_beta7.050_m1-0.850_m2-0.850_T24_L14/,3,12
7.05,-0.85,16,32,4,101,Scattering_I2_SP(4)_beta7.050_m1-0.850_m2-0.850_T32_L16/,3,16
7.05,-0.85,24,36,16,100,Scattering_I2_SP(4)_beta7.050_m1-0.850_m2-0.850_T36_L24/,3,16
7.2,-0.78,10,20,16,195,Scattering_I2_SP(4)_beta7.200_m1-0.780_m2-0.780_T20_L10/,3,10
7.2,-0.78,12,24,16,150,Scattering_I2_SP(4)_beta7.200_m1-0.780_m2-0.780_T24_L12/,2,11
7.2,-0.78,14,24,16,425,Scattering_I2_SP(4)_beta7.200_m1-0.780_m2-0.780_T24_L14/,2,12
7.2,-0.78,16,32,16,265,Scattering_I2_SP(4)_beta7.200_m1-0.780_m2-0.780_T32_L16/,3,16
7.2,-0.78,24,36,16,508,Scattering_I2_SP(4)_beta7.200_m1-0.780_m2-0.780_T36_L24/,3,16
7.2,-0.78,8,24,16,401,Scattering_I2_SP(4)_beta7.200_m1-0.780_m2-0.780_T24_L8/,3,11
7.2,-0.794,12,24,4,101,Scattering_I2_SP(4)_beta7.200_m1-0.794_m2-0.794_T24_L12/,3,12
7.2,-0.794,14,24,4,234,Scattering_I2_SP(4)_beta7.200_m1-0.794_m2-0.794_T24_L14/,3,11
7.2,-0.794,16,32,4,101,Scattering_I2_SP(4)_beta7.200_m1-0.794_m2-0.794_T32_L16/,3,12
7.2,-0.794,28,36,16,457,Scattering_I2_SP(4)_beta7.200_m1-0.794_m2-0.794_T36_L28/,3,13
